Source_Layer,Predictor,Outcome,Left_Out_Test,N_Remaining,Full_Rho,LOTO_Rho,Direction_Preserved,Abs_Rho_Change
PRODUCT_ADJUSTED,CMC_P95,Outcome,Test-1,8,0.8181818181818182,0.8333333333333335,True,0.015151515151515249
PRODUCT_ADJUSTED,CMC_P95,Outcome,Test-2,7,0.8181818181818182,0.642857142857143,True,0.17532467532467522
PRODUCT_ADJUSTED,CMC_P95,Outcome,Test-3,7,0.8181818181818182,0.9642857142857145,True,0.1461038961038963
PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,Test-1,8,0.8363636363636365,0.8333333333333335,True,0.00303030303030305
PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,Test-2,7,0.8363636363636365,0.7142857142857144,True,0.12207792207792212
PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,Test-3,7,0.8363636363636365,0.9285714285714288,True,0.0922077922077923
PRODUCT_ADJUSTED,CN0,Outcome,Test-1,8,-0.7448767935921586,-0.7229440390678199,True,0.021932754524338738
PRODUCT_ADJUSTED,CN0,Outcome,Test-2,7,-0.7448767935921586,-0.5585812268712466,True,0.18629556672091208
PRODUCT_ADJUSTED,CN0,Outcome,Test-3,7,-0.7448767935921586,-0.9549937104572925,True,0.2101169168651339
UNADJUSTED,CMC_P95,Outcome,Test-1,8,0.8454545454545455,0.9047619047619048,True,0.05930735930735931
UNADJUSTED,CMC_P95,Outcome,Test-2,7,0.8454545454545455,0.642857142857143,True,0.20259740259740244
UNADJUSTED,CMC_P95,Outcome,Test-3,7,0.8454545454545455,0.9285714285714288,True,0.08311688311688337
UNADJUSTED,CMC_ROBUST,Outcome,Test-1,8,0.790909090909091,0.9047619047619048,True,0.11385281385281376
UNADJUSTED,CMC_ROBUST,Outcome,Test-2,7,0.790909090909091,0.6071428571428572,True,0.1837662337662338
UNADJUSTED,CMC_ROBUST,Outcome,Test-3,7,0.790909090909091,0.8571428571428573,True,0.06623376623376631
UNADJUSTED,CN0,Outcome,Test-1,8,-0.790856842579329,-0.7711403083390078,True,0.01971653424032116
UNADJUSTED,CN0,Outcome,Test-2,7,-0.790856842579329,-0.6126374746329801,True,0.17821936794634885
UNADJUSTED,CN0,Outcome,Test-3,7,-0.790856842579329,-0.9549937104572925,True,0.16413686787796355
