Test,Receiver,Receiver_ID,Receiver_Class,RINEX_File,Epoch_N,Expected_Epoch_N,Duration_min,Header_Interval_s,Median_dt_s,Nominal_Interval_s,Epoch_Retention_pct,PhaseJump_Flag_N,Final_Phase_Transitions_N,PhaseJump_Rate_per1000,PhaseDiscontinuities_per_hour,Transitions_per_second_of_session,Interval_Match_1s,Header_vs_Empirical
Test-1,CHC I80,C1,Geodetic,C:\IEEE\RAW_DATA\Test1\CHC1.23O,5601,5601,93.33333333333331,1.0,1.0,1.0,100.0,415,322115,1.2883597472952206,266.78571428571433,57.52053571428572,True,MATCH
Test-1,TRIMBLE OEM MB2,OEM1,OEM,C:\IEEE\RAW_DATA\Test1\OEM1.23o,966,6620,110.31666666666666,1.0,1.0,1.0,14.59214501510574,55,57261,0.9605141370217076,29.913884272548724,8.651004683486931,True,MATCH
Test-1,XIAOMI-1,T11,Smartphone,C:\IEEE\RAW_DATA\Test1\T11.23o,5252,5264,87.71668333333334,,1.0,1.0,99.77203647416414,76,320105,0.237422095874791,51.98554968923624,60.82176309675791,True,HEADER_MISSING_EMPIRICAL_USED
Test-1,XIAOMI-2,T21,Smartphone,C:\IEEE\RAW_DATA\Test1\T21.23o,5271,5280,87.98335,,1.0,1.0,99.82954545454544,201,323031,0.622231302878052,137.07138907531936,61.191691382517256,True,HEADER_MISSING_EMPIRICAL_USED
Test-2,CHC I80,C2,Geodetic,C:\IEEE\RAW_DATA\Test2\CHC2.23O,5193,5193,86.53333333333333,1.0,1.0,1.0,100.0,425,343364,1.237753521044722,294.68412942989215,66.13328197226502,True,MATCH
Test-2,TRIMBLE OEM MB2,OEM2,OEM,C:\IEEE\RAW_DATA\Test2\OEM2.23o,3566,3566,59.41666666666666,1.0,1.0,1.0,100.0,30,210819,0.1423021644159207,30.294530154277705,59.13576437587658,True,MATCH
Test-2,XIAOMI-1,T12,Smartphone,C:\IEEE\RAW_DATA\Test2\T12.23o,3723,3723,62.03333333333333,,1.0,1.0,100.0,43,253794,0.1694287493006138,41.5905427189683,68.18753358409457,True,HEADER_MISSING_EMPIRICAL_USED
Test-2,XIAOMI-2,T22,Smartphone,C:\IEEE\RAW_DATA\Test2\T22.23o,3710,3719,61.96666666666667,,1.0,1.0,99.75799946222102,62,251517,0.2465042124389206,60.0322754168908,67.64846691769769,True,HEADER_MISSING_EMPIRICAL_USED
Test-3,CHC I80,C3,Geodetic,C:\IEEE\RAW_DATA\Test3\CHC3.23O,3660,3660,60.98333333333333,1.0,1.0,1.0,100.0,164,242025,0.6776159487656234,161.35556162886036,66.14512161792841,True,MATCH
Test-3,TRIMBLE OEM MB2,OEM3,OEM,C:\IEEE\RAW_DATA\Test3\OEM3.23o,3186,3186,53.083333333333336,1.0,1.0,1.0,100.0,103,198791,0.5181321085964656,116.42072213500784,62.41475667189953,True,MATCH
Test-3,XIAOMI-1,T13,Smartphone,C:\IEEE\RAW_DATA\Test3\T13.23o,3654,3660,60.987966666666665,,1.0,1.0,99.8360655737705,221,227345,0.9720908751017177,217.41993912460327,62.12837614414647,True,HEADER_MISSING_EMPIRICAL_USED
Test-3,XIAOMI-2,T23,Smartphone,C:\IEEE\RAW_DATA\Test3\T23.23o,3651,3655,60.9,,1.0,1.0,99.890560875513,87,223591,0.3891033181120886,85.71428571428572,61.19074986316365,True,HEADER_MISSING_EMPIRICAL_USED
