Scope,Method,Statistic,N,Spearman_rho_vs_MedianArc,p_value
ALL,CURRENT,RobustSigma_m,12,0.4825174825174825,0.11210929146889191
ALL,CURRENT,P95Abs_m,12,0.5594405594405596,0.05858947538856762
ALL,FIXED300,RobustSigma_m,12,0.3216783216783217,0.30790987618065263
ALL,FIXED300,P95Abs_m,12,0.34965034965034975,0.2652387868927897
ALL,LINEAR,RobustSigma_m,12,0.44755244755244755,0.14458630130334754
ALL,LINEAR,P95Abs_m,12,0.4055944055944056,0.19083587400450033
ALL,QUADRATIC,RobustSigma_m,12,0.3916083916083916,0.2080634636953532
ALL,QUADRATIC,P95Abs_m,12,0.2797202797202798,0.37856866966230307
SMARTPHONE,CURRENT,RobustSigma_m,6,-0.3142857142857143,0.5440932944606414
SMARTPHONE,CURRENT,P95Abs_m,6,-0.3142857142857143,0.5440932944606414
SMARTPHONE,FIXED300,RobustSigma_m,6,-0.4285714285714286,0.39650145772594736
SMARTPHONE,FIXED300,P95Abs_m,6,-0.3142857142857143,0.5440932944606414
SMARTPHONE,LINEAR,RobustSigma_m,6,-0.14285714285714288,0.7871720116618075
SMARTPHONE,LINEAR,P95Abs_m,6,-0.8857142857142858,0.01884548104956266
SMARTPHONE,QUADRATIC,RobustSigma_m,6,0.08571428571428573,0.8717434402332361
SMARTPHONE,QUADRATIC,P95Abs_m,6,-0.6,0.20799999999999985
