Test,Receiver,Receiver_ID,Receiver_Class,RINEX_File,Nominal_Interval_s,Accepted_GPSL1_Segment_N,Median_AcceptedSegment_Duration_s,Fixed300_Window_N,CURRENT_N,CURRENT_RobustSigma_m,CURRENT_P95Abs_m,FIXED300_N,FIXED300_RobustSigma_m,FIXED300_P95Abs_m,LINEAR_N,LINEAR_RobustSigma_m,LINEAR_P95Abs_m,QUADRATIC_N,QUADRATIC_RobustSigma_m,QUADRATIC_P95Abs_m,Status
Test-1,CHC I80,C1,Geodetic,C:\IEEE\RAW_DATA\Test1\CHC1.23O,1.0,23,714.0,172,48919,2.1008842472702263,6.838438751175997,48852,0.3180173075163737,0.8837219330482176,48869,0.5369761748957648,1.1951214376140884,48869,0.28754216305643604,0.6704450327198197,OK
Test-1,TRIMBLE OEM MB2,OEM1,OEM,C:\IEEE\RAW_DATA\Test1\OEM1.23o,1.0,34,282.0,46,10751,0.21059777084738016,1.6077740602195263,10648,0.1041086623404175,0.9257761934772132,10648,0.025229523849662903,0.7265763971974041,10648,0.016880174900333403,0.5247269714798708,OK
Test-1,XIAOMI-1,T11,Smartphone,C:\IEEE\RAW_DATA\Test1\T11.23o,1.0,130,441.0,252,58933,16.011044312028584,32.51542872563004,58855,6.887129789860547,12.656861897185445,58855,1.818534342189878,6.043099831789715,58855,1.7356168877497316,5.50667513944208,OK
Test-1,XIAOMI-2,T21,Smartphone,C:\IEEE\RAW_DATA\Test1\T21.23o,1.0,219,268.0,314,59208,9.126190733339264,19.95405312757938,58951,5.742357334499806,12.919708658009768,58998,2.156880728289485,6.124683450721191,58998,1.9478234426960348,5.425287894532084,OK
Test-2,CHC I80,C2,Geodetic,C:\IEEE\RAW_DATA\Test2\CHC2.23O,1.0,25,2458.0,165,44810,0.9152163589440285,5.004340016841884,44740,0.3021549988020211,0.9216817589476697,44760,0.3115669641511021,0.7833019042622764,44760,0.2754243117951657,0.6472921787842063,OK
Test-2,TRIMBLE OEM MB2,OEM2,OEM,C:\IEEE\RAW_DATA\Test2\OEM2.23o,1.0,28,424.5,144,41483,1.6314089391253888,7.57250925097615,41347,0.15902640988379715,0.8947159048169847,41348,0.3086366899348178,0.7835699136183735,41348,0.05635210677930384,0.46135258168222454,OK
Test-2,XIAOMI-1,T12,Smartphone,C:\IEEE\RAW_DATA\Test2\T12.23o,1.0,60,689.5,170,41049,26.552501025118676,52.58180793002247,40978,7.114631734722107,12.859958614967764,41013,2.1415818035803733,6.252428498119117,41013,2.0188612668916583,5.647252208739524,OK
Test-2,XIAOMI-2,T22,Smartphone,C:\IEEE\RAW_DATA\Test2\T22.23o,1.0,82,527.001,163,41129,17.379282397426664,36.77960511744021,41072,7.57361475017108,12.469750759005539,41072,1.7387781395014374,6.163532871007914,41072,1.6640916707128286,5.200451318547125,OK
Test-3,CHC I80,C3,Geodetic,C:\IEEE\RAW_DATA\Test3\CHC3.23O,1.0,32,495.0,117,31590,0.9266078327765688,5.063650109805167,31485,0.2942177738506347,0.8098456300795078,31485,0.31561862468530966,0.7776496524140867,31485,0.26958326209812167,0.6451580403282087,OK
Test-3,TRIMBLE OEM MB2,OEM3,OEM,C:\IEEE\RAW_DATA\Test3\OEM3.23o,1.0,31,553.0,157,43301,2.070776596435904,8.69869690015912,43215,0.21461182751655578,0.8963324788957833,43215,0.24683278039683,0.7525402457438528,43215,0.05893031073004599,0.42525942178617504,OK
Test-3,XIAOMI-1,T13,Smartphone,C:\IEEE\RAW_DATA\Test3\T13.23o,1.0,79,599.0009999999997,164,40777,20.268172754061965,41.81044430509208,40361,7.31427419077903,13.605162639170885,40625,2.013364209553599,7.074324608594162,40625,1.893706168551743,6.2440744563937125,OK
Test-3,XIAOMI-2,T23,Smartphone,C:\IEEE\RAW_DATA\Test3\T23.23o,1.0,118,422.001,189,40997,11.195349490528553,22.739529616385685,40952,6.008697884822264,12.69774082098156,40976,2.157759674112126,7.14787770062685,40976,1.9256412636235356,5.772737660445273,OK
