Scope,Method,Statistic,Outcome,N,Spearman_rho,p_value
ALL,CURRENT,RobustSigma_m,Median_RMSE2D_m,11,0.790909090909091,0.003746082953397406
ALL,CURRENT,RobustSigma_m,Median_RMSE3D_m,11,0.8545454545454546,0.0008066741521648989
ALL,CURRENT,RobustSigma_m,RMSE2D_Product_Range_m,11,0.7272727272727273,0.011204967253592057
ALL,CURRENT,P95Abs_m,Median_RMSE2D_m,11,0.8454545454545455,0.0010451821458586869
ALL,CURRENT,P95Abs_m,Median_RMSE3D_m,11,0.8545454545454546,0.0008066741521648989
ALL,CURRENT,P95Abs_m,RMSE2D_Product_Range_m,11,0.7454545454545456,0.00845472888506156
ALL,FIXED300,RobustSigma_m,Median_RMSE2D_m,11,0.7181818181818183,0.01279959806885844
ALL,FIXED300,RobustSigma_m,Median_RMSE3D_m,11,0.7363636363636363,0.009759535959916903
ALL,FIXED300,RobustSigma_m,RMSE2D_Product_Range_m,11,0.7727272727272727,0.005299487178643863
ALL,FIXED300,P95Abs_m,Median_RMSE2D_m,11,0.7000000000000001,0.01647097883651441
ALL,FIXED300,P95Abs_m,Median_RMSE3D_m,11,0.6636363636363638,0.025984133918765504
ALL,FIXED300,P95Abs_m,RMSE2D_Product_Range_m,11,0.6727272727272727,0.023313039833185972
ALL,LINEAR,RobustSigma_m,Median_RMSE2D_m,11,0.6454545454545455,0.03196279932801745
ALL,LINEAR,RobustSigma_m,Median_RMSE3D_m,11,0.7090909090909092,0.014552051953727704
ALL,LINEAR,RobustSigma_m,RMSE2D_Product_Range_m,11,0.6090909090909091,0.04669570935409886
ALL,LINEAR,P95Abs_m,Median_RMSE2D_m,11,0.6545454545454547,0.028864598957001886
ALL,LINEAR,P95Abs_m,Median_RMSE3D_m,11,0.7363636363636363,0.009759535959916903
ALL,LINEAR,P95Abs_m,RMSE2D_Product_Range_m,11,0.5181818181818182,0.10249153979096381
ALL,QUADRATIC,RobustSigma_m,Median_RMSE2D_m,11,0.7000000000000001,0.01647097883651441
ALL,QUADRATIC,RobustSigma_m,Median_RMSE3D_m,11,0.7545454545454545,0.00728204100842914
ALL,QUADRATIC,RobustSigma_m,RMSE2D_Product_Range_m,11,0.6727272727272727,0.023313039833185972
ALL,QUADRATIC,P95Abs_m,Median_RMSE2D_m,11,0.5909090909090909,0.05557560428877463
ALL,QUADRATIC,P95Abs_m,Median_RMSE3D_m,11,0.6272727272727273,0.03884525362035334
ALL,QUADRATIC,P95Abs_m,RMSE2D_Product_Range_m,11,0.5909090909090909,0.05557560428877463
SMARTPHONE,CURRENT,RobustSigma_m,Median_RMSE2D_m,6,0.4285714285714286,0.39650145772594736
SMARTPHONE,CURRENT,RobustSigma_m,Median_RMSE3D_m,6,0.2571428571428572,0.6227871720116618
SMARTPHONE,CURRENT,RobustSigma_m,RMSE2D_Product_Range_m,6,-0.08571428571428573,0.8717434402332361
SMARTPHONE,CURRENT,P95Abs_m,Median_RMSE2D_m,6,0.4285714285714286,0.39650145772594736
SMARTPHONE,CURRENT,P95Abs_m,Median_RMSE3D_m,6,0.2571428571428572,0.6227871720116618
SMARTPHONE,CURRENT,P95Abs_m,RMSE2D_Product_Range_m,6,-0.08571428571428573,0.8717434402332361
SMARTPHONE,FIXED300,RobustSigma_m,Median_RMSE2D_m,6,0.3142857142857143,0.5440932944606414
SMARTPHONE,FIXED300,RobustSigma_m,Median_RMSE3D_m,6,0.14285714285714288,0.7871720116618075
SMARTPHONE,FIXED300,RobustSigma_m,RMSE2D_Product_Range_m,6,0.14285714285714288,0.7871720116618075
SMARTPHONE,FIXED300,P95Abs_m,Median_RMSE2D_m,6,-0.2,0.704
SMARTPHONE,FIXED300,P95Abs_m,Median_RMSE3D_m,6,-0.3714285714285715,0.46847813411078715
SMARTPHONE,FIXED300,P95Abs_m,RMSE2D_Product_Range_m,6,-0.5428571428571429,0.26570262390670557
SMARTPHONE,LINEAR,RobustSigma_m,Median_RMSE2D_m,6,-0.3714285714285715,0.46847813411078715
SMARTPHONE,LINEAR,RobustSigma_m,Median_RMSE3D_m,6,-0.2,0.704
SMARTPHONE,LINEAR,RobustSigma_m,RMSE2D_Product_Range_m,6,-0.7142857142857143,0.1107871720116617
SMARTPHONE,LINEAR,P95Abs_m,Median_RMSE2D_m,6,-0.4285714285714286,0.39650145772594736
SMARTPHONE,LINEAR,P95Abs_m,Median_RMSE3D_m,6,-0.3714285714285715,0.46847813411078715
SMARTPHONE,LINEAR,P95Abs_m,RMSE2D_Product_Range_m,6,-0.942857142857143,0.0048046647230320545
SMARTPHONE,QUADRATIC,RobustSigma_m,Median_RMSE2D_m,6,0.2,0.704
SMARTPHONE,QUADRATIC,RobustSigma_m,Median_RMSE3D_m,6,0.2571428571428572,0.6227871720116618
SMARTPHONE,QUADRATIC,RobustSigma_m,RMSE2D_Product_Range_m,6,-0.48571428571428577,0.32872303206997094
SMARTPHONE,QUADRATIC,P95Abs_m,Median_RMSE2D_m,6,-0.6,0.20799999999999985
SMARTPHONE,QUADRATIC,P95Abs_m,Median_RMSE3D_m,6,-0.6571428571428573,0.15617492711370237
SMARTPHONE,QUADRATIC,P95Abs_m,RMSE2D_Product_Range_m,6,-0.7714285714285715,0.07239650145772594
