category,requested,status,source,sha256,expected_sha256
01_CORE_DATA,GNSS_ANALYSIS\STAGE1_RINEX_V2_2\GNSS_STAGE1_FINAL_METRICS.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\STAGE1_RINEX_V2_2\GNSS_STAGE1_FINAL_METRICS.csv,644d751f60981434662f7ecc9c22b1436b710936796804ea63f058b34c096817,644d751f60981434662f7ecc9c22b1436b710936796804ea63f058b34c096817
01_CORE_DATA,GNSS_ANALYSIS\STAGE1_RINEX_V2_2\GNSS_STAGE1_RINEX_PARSER_QC.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\STAGE1_RINEX_V2_2\GNSS_STAGE1_RINEX_PARSER_QC.csv,5e60c444cd4c5507462b027b9fdfddab8087fcae70211752ded3882e0283af13,5e60c444cd4c5507462b027b9fdfddab8087fcae70211752ded3882e0283af13
01_CORE_DATA,GNSS_ANALYSIS\POS_STATISTICS_V1_5_1_1\GNSS_POS_STATISTICS_V1_5_1_1.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\POS_STATISTICS_V1_5_1_1\GNSS_POS_STATISTICS_V1_5_1_1.csv,69d78cf6b34ae2206090f18ec8fa692f32bf8094729fbdba1698caaef633e55a,69d78cf6b34ae2206090f18ec8fa692f32bf8094729fbdba1698caaef633e55a
01_CORE_DATA,GNSS_ANALYSIS\POS_STATISTICS_V1_5_1_1\GNSS_POS_PROCESSING_AUDIT_V1_5_1.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\POS_STATISTICS_V1_5_1_1\GNSS_POS_PROCESSING_AUDIT_V1_5_1.csv,26cf9a3207a8dd7c1d36933243d25407c10e1e8154608e0ca95dc838b0e95f42,26cf9a3207a8dd7c1d36933243d25407c10e1e8154608e0ca95dc838b0e95f42
01_CORE_DATA,Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,COPIED,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,08cc5fa196d0143c66bc37f2c62025c5f50d873d4bcf5933316f15dbe6bb3736,08cc5fa196d0143c66bc37f2c62025c5f50d873d4bcf5933316f15dbe6bb3736
01_CORE_DATA,GNSS_ANALYSIS\STAGE1_STAGE2_EVIDENCE_V1\STAGE2_DATASET_LEVEL_SUMMARY.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\STAGE1_STAGE2_EVIDENCE_V1\STAGE2_DATASET_LEVEL_SUMMARY.csv,e90c7db9f5446761039a7356683d1f3db1369888d4e95da622b7594e1b0c02be,e90c7db9f5446761039a7356683d1f3db1369888d4e95da622b7594e1b0c02be
01_CORE_DATA,GNSS_ANALYSIS\STAGE1_STAGE2_EVIDENCE_V1\STAGE2_PRODUCT_ADJUSTED_DATASET.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\STAGE1_STAGE2_EVIDENCE_V1\STAGE2_PRODUCT_ADJUSTED_DATASET.csv,168cda68426fef8adc28315be8fa7c3544104bdf6cb418a5d419a9cc43e8c450,
03_INFERENCE,GNSS_ANALYSIS\REVIEWER_COMMENT8_CMC_DETREND_V1\COMMENT8_STAGE2_ASSOCIATION_SENSITIVITY.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\REVIEWER_COMMENT8_CMC_DETREND_V1\COMMENT8_STAGE2_ASSOCIATION_SENSITIVITY.csv,ee7986ef34421419a6f4724a594c9589a6062193e02b2fcb51a0412d816f8fa9,
03_INFERENCE,GNSS_ANALYSIS\REVIEWER_COMMENT8_CMC_DETREND_V1\COMMENT8_CURRENT_CMC_ARC_DEPENDENCE.csv,MISSING,,,
04_PROVENANCE,GNSS_ANALYSIS\COMMENT10_PUBLICATION_TABLES_V1_1\COMMENT10_TABLE_X_OBSERVATION_SESSIONS.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT10_PUBLICATION_TABLES_V1_1\COMMENT10_TABLE_X_OBSERVATION_SESSIONS.csv,fc291a2403e8f03579798400089bac9f1a44caa520792263b0c9b4744e3992cf,
04_PROVENANCE,GNSS_ANALYSIS\COMMENT10_PUBLICATION_TABLES_V1_1\COMMENT10_TABLE_SX_PRECISE_PRODUCTS.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT10_PUBLICATION_TABLES_V1_1\COMMENT10_TABLE_SX_PRECISE_PRODUCTS.csv,0585e85a28a5118d3625517d315739c1b9105b3434efb4067e70388edf2ab44f,
04_PROVENANCE,GNSS_ANALYSIS\COMMENT10_PUBLICATION_TABLES_V1_1\COMMENT10_TABLE_SX_BROADCAST_NAV.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT10_PUBLICATION_TABLES_V1_1\COMMENT10_TABLE_SX_BROADCAST_NAV.csv,9344a31e877e8a695b6361d050636ec655672320178e0a05ef0c3ecfa38395ba,
03_INFERENCE,GNSS_ANALYSIS\COMMENT12_NUMERICAL_CONSISTENCY_AUDIT_V1\COMMENT12_FINAL_EVIDENCE_REGISTRY.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT12_NUMERICAL_CONSISTENCY_AUDIT_V1\COMMENT12_FINAL_EVIDENCE_REGISTRY.csv,cf540cac3d7b96105d29bd67eaf3b38f1dc46589dfaafa6545e094a771c1d383,
03_INFERENCE,GNSS_ANALYSIS\COMMENT12_NUMERICAL_CONSISTENCY_AUDIT_V1\COMMENT12_PRIMARY_NUMERICAL_LOCK.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT12_NUMERICAL_CONSISTENCY_AUDIT_V1\COMMENT12_PRIMARY_NUMERICAL_LOCK.csv,93d97c18f54d6b03ff5a344e749e4cea6f9bfd11b558762bee2652977cd64ce0,
03_INFERENCE,GNSS_ANALYSIS\COMMENT12_NUMERICAL_CONSISTENCY_AUDIT_V1\COMMENT12_ROBUSTNESS_NUMERICAL_LOCK.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT12_NUMERICAL_CONSISTENCY_AUDIT_V1\COMMENT12_ROBUSTNESS_NUMERICAL_LOCK.csv,b89b3b658a04aa178efe90741e56b993e1a41aeaac5dc975e8cb5c15d57d4d57,
02_SUPPLEMENTARY,PAPER_OUTPUT\SUPPLEMENTARY\Table_S1_Receiver_Specific_Ground_Truth_FINAL.csv,COPIED,C:\IEEE\PAPER_OUTPUT\SUPPLEMENTARY\Table_S1_Receiver_Specific_Ground_Truth_FINAL.csv,258346e09c39f6feca08c75582f936d10e6c6fc5834325d3459ddc10784e361e,
02_SUPPLEMENTARY,PAPER_OUTPUT\SUPPLEMENTARY\Table_S2_Complete_Stage1_Metrics.csv,COPIED,C:\IEEE\PAPER_OUTPUT\SUPPLEMENTARY\Table_S2_Complete_Stage1_Metrics.csv,58ea96024e2a84071f8069a44d03f9a7dd8deb0180371ec3081315f8969b9e2b,
02_SUPPLEMENTARY,PAPER_OUTPUT\SUPPLEMENTARY\Table_S3_Complete_72_Run_Stage2_Registry_and_Results_FINAL.csv,COPIED,C:\IEEE\PAPER_OUTPUT\SUPPLEMENTARY\Table_S3_Complete_72_Run_Stage2_Registry_and_Results_FINAL.csv,4f43880fbf1cf10c7fec81fb846a1943cc4c6b3523026832ceb9fe4b0d6547b4,
02_SUPPLEMENTARY,PAPER_OUTPUT\SUPPLEMENTARY\Table_S4_Product_and_Navigation_Provenance.csv,COPIED,C:\IEEE\PAPER_OUTPUT\SUPPLEMENTARY\Table_S4_Product_and_Navigation_Provenance.csv,5c15ffdf76f378dacad0de5e56d5c9c70451e2107b6ef7c2647407e9b4ca6712,
02_SUPPLEMENTARY,PAPER_OUTPUT\SUPPLEMENTARY\Table_S5_Statistical_Association_and_Exact_Inference.csv,COPIED,C:\IEEE\PAPER_OUTPUT\SUPPLEMENTARY\Table_S5_Statistical_Association_and_Exact_Inference.csv,e1c622f212fbece4993fee6ffa606c36016c681e3159d5110d7f16417ad07602,
02_SUPPLEMENTARY,PAPER_OUTPUT\SUPPLEMENTARY\Table_S6_Reviewer_Driven_Sensitivity_Audits.csv,COPIED,C:\IEEE\PAPER_OUTPUT\SUPPLEMENTARY\Table_S6_Reviewer_Driven_Sensitivity_Audits.csv,d4fa19d7eb09775c4ddd0f4495ad619b3e32ea956066d7967f80f6e1d405f4ba,
09_MANUSCRIPT,Yazım\REVIEW_II\SUBMISSION\Project1_SENSORS_SUBMISSION_READY_v3_1.docx,COPIED,C:\IEEE\Yazım\REVIEW_II\SUBMISSION\Project1_SENSORS_SUBMISSION_READY_v3_1.docx,9b27f42f7e5e0da17112cffa643eb674efeed3fd3880f433794b1e84fdab9710,
09_MANUSCRIPT,Yazım\REVIEW_II\SUBMISSION\Project1_FINAL_SUBMISSION_MASTER_v3_0_INTEGRITY_LOCKED.docx,COPIED,C:\IEEE\Yazım\REVIEW_II\SUBMISSION\Project1_FINAL_SUBMISSION_MASTER_v3_0_INTEGRITY_LOCKED.docx,94c2164d65d9f16287a1722a7b91f11eeb13780ad6aa5642f6619e427f977204,
09_MANUSCRIPT,Yazım\REVIEW_II\Supplementary\Project1_SUPPLEMENTARY_MATERIALS_Q1_COMPACT_v2_1.docx,COPIED,C:\IEEE\Yazım\REVIEW_II\Supplementary\Project1_SUPPLEMENTARY_MATERIALS_Q1_COMPACT_v2_1.docx,4d5a19eea83be475fb3c54428efda8cc63f87852d6838957e39da7d660897c49,
09_MANUSCRIPT,Yazım\REVIEW_II\Project1_WHOLE_MANUSCRIPT_FINAL_INTEGRITY_GATE_v1.txt,COPIED,C:\IEEE\Yazım\REVIEW_II\Project1_WHOLE_MANUSCRIPT_FINAL_INTEGRITY_GATE_v1.txt,d284b235e4ab7fb7dc7dfe3379cd3886135c0c9a33e4d6c82930cb0047bba40d,
03_INFERENCE,COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,92ed68055fae8e8ce134c99fb183ba8ab64718d50353b8b9f96021f6696b53df,
03_INFERENCE,COMMENT11_V1_1_LOTO_SENSITIVITY.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_LOTO_SENSITIVITY.csv,9979a08cc2557396aae708a429f523a585f5f46c7f3af6b57c94b98ba439e61c,
03_INFERENCE,COMMENT11_V1_1_FIXED_TEST_EFFECT.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_FIXED_TEST_EFFECT.csv,7e3a36ae9da6355736ca3d95c8aeb12b69444cbbb7e90f519c97228be44d1727,
03_INFERENCE,COMMENT11_V1_1_VARIANCE_ICC.csv,COPIED,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_VARIANCE_ICC.csv,cb37a57cd74e084502b417732f2a7f22bbb9c41782d37c4daf8642b879547d41,
05_CODE,PROJECT1_FINAL_SOURCE_AUDIT_v1_1.py,COPIED,C:\IEEE\PY_CODES\PROJECT1_FINAL_SOURCE_AUDIT_v1_1.py,beead8adaf513139ac8bbf33a620022d3b811247f64d4bd02927dbf7e2f28dcb,
05_CODE,PROJECT1_FINAL_FIGURES_TABLES_FIX5.py,COPIED,C:\IEEE\PY_CODES\PROJECT1_FINAL_FIGURES_TABLES_FIX5.py,2461f49a05c9ce76f1b162829fa9ffc24dc60784883fbf2e471025d7166e8d5d,
05_CODE,PROJECT1_FIG04_FINAL_WORKFLOW_v5_FINAL.py,COPIED,C:\IEEE\PY_CODES\PROJECT1_FIG04_FINAL_WORKFLOW_v5_FINAL.py,9722d65cb2380ab46e4e21752f880df18b0c83a9ef3e5b69cd4ad6591f84d5f4,
05_CODE,GNSS_STAGE1_RINEX_METRICS_v2_2.py,COPIED,C:\IEEE\PY_CODES\GNSS_STAGE1_RINEX_METRICS_v2_2.py,70b193f018e244591dd1d440e4b0ef431310ceabe8479a354388ccc0a9dcc7c7,
05_CODE,GNSS_POS_Statistical_Analysis_v1_5_1.py,COPIED,C:\IEEE\PY_CODES\GNSS_POS_Statistical_Analysis_v1_5_1.py,4cf1af834294d60db1916a4595f38f7d31bfa6f26b9faa165cf102819cb7c020,
05_CODE,GNSS_STAGE1_STAGE2_EVIDENCE_v1.py,COPIED,C:\IEEE\PY_CODES\GNSS_STAGE1_STAGE2_EVIDENCE_v1.py,32b5d5d53fde09e6acfeb4fb7af41e8be8e1052a641ffab6ef2168008b35716e,
05_CODE,GNSS_STAGE1_STAGE2_EVIDENCE_v1_2_MODEL_ONLY.py,COPIED,C:\IEEE\PY_CODES\GNSS_STAGE1_STAGE2_EVIDENCE_v1_2_MODEL_ONLY.py,f097b740f5b9a59c78536f02d590ec8f42cf3faed864a3f61ed7776330431ff0,
05_CODE,GNSS_COMMENT12_NUMERICAL_CONSISTENCY_AUDIT_v1.py,COPIED,C:\IEEE\PY_CODES\GNSS_COMMENT12_NUMERICAL_CONSISTENCY_AUDIT_v1.py,4c903a0e3fb74c0097f16273d7d8ba9d76744b153311d31837785e2f8a24653a,
05_CODE,GNSS_COMMENT12_MANUSCRIPT_NUMERICAL_AUDIT_v1_1.py,COPIED,C:\IEEE\PY_CODES\GNSS_COMMENT12_MANUSCRIPT_NUMERICAL_AUDIT_v1_1.py,08652f21304cb0de74780b92aef6e16e5f5109078124c5105309ff081a85b722,
05_CODE,GNSS_COMMENT12_METRIC_LINEAGE_AUDIT_v1.py,COPIED,C:\IEEE\PY_CODES\GNSS_COMMENT12_METRIC_LINEAGE_AUDIT_v1.py,a3c13262e9d16ffb8146728dd5f599be97ed8b2104a7a0e31e50499dbd75592d,
05_CODE,GNSS_COMMENT12_UPSTREAM_PROVENANCE_SCANNER_v1_1.py,COPIED,C:\IEEE\PY_CODES\GNSS_COMMENT12_UPSTREAM_PROVENANCE_SCANNER_v1_1.py,180001c74cb0217b848d9f3d309f30555dfbef69bf10da61940c7b60ec793fad,
06_CONFIG,CONF_Files\conf_June5_2023_GEODETIC_CHC_I80.conf,COPIED,C:\IEEE\CONF_Files\conf_June5_2023_GEODETIC_CHC_I80.conf,3ef661ff17dadc36ddc15a78f082329846fa500ac966c768821d4049e6b0b4b2,
06_CONFIG,CONF_Files\conf_June5_2023_OEM_TRIMBLE_MB2.conf,COPIED,C:\IEEE\CONF_Files\conf_June5_2023_OEM_TRIMBLE_MB2.conf,f78337083088b79de067468a5995fb8b946c36f30d8f8d09130734e71e6108c5,
06_CONFIG,CONF_Files\conf_June5_2023_SMARTPHONE_XIAOMI.conf,COPIED,C:\IEEE\CONF_Files\conf_June5_2023_SMARTPHONE_XIAOMI.conf,58ba1173cc3b86a10b24e5b8cebaa4f2ac4027ec5f1ca5ce5bbad50881e13212,
07_RAW_RINEX,RAW_DATA\Test1\CHC1.23O,COPIED,C:\IEEE\RAW_DATA\Test1\CHC1.23O,ebe39d65b3a932e3b082f2673260293aa661d04a8844da952fbc9854815a74dc,
07_RAW_RINEX,RAW_DATA\Test1\OEM1.23o,COPIED,C:\IEEE\RAW_DATA\Test1\OEM1.23o,542a8259972708915416a8e6440cb7439cfeeedbda93a860abbfbbddc9071390,
07_RAW_RINEX,RAW_DATA\Test1\T11.23o,COPIED,C:\IEEE\RAW_DATA\Test1\T11.23o,9fc858bffe3bcafc366a6620fa22ef8a52daee4073d78a2d0e301d38e262d8cc,
07_RAW_RINEX,RAW_DATA\Test1\T21.23o,COPIED,C:\IEEE\RAW_DATA\Test1\T21.23o,eb58fda6b9dd03781bc47dbdd7bb0a42c45a3d9392ecb12a84010ec54f3f587e,
07_RAW_RINEX,RAW_DATA\Test2\CHC2.23O,COPIED,C:\IEEE\RAW_DATA\Test2\CHC2.23O,0c57e35507248571592ad90804a87fe9a8a53bc4804f1f5e3323c35627fc4638,
07_RAW_RINEX,RAW_DATA\Test2\OEM2.23o,COPIED,C:\IEEE\RAW_DATA\Test2\OEM2.23o,fc072373461b3687e30bfb5b51e57d558a305a8a068d4af28c2d8ba2d68b6bbd,
07_RAW_RINEX,RAW_DATA\Test2\T12.23o,COPIED,C:\IEEE\RAW_DATA\Test2\T12.23o,d8855a6772d01afae2923737a9e8617f7a635cff598d1fd711c7fab148bb1315,
07_RAW_RINEX,RAW_DATA\Test2\T22.23o,COPIED,C:\IEEE\RAW_DATA\Test2\T22.23o,56714f37130f5ff72f02ccc2e9ea1e30838421316f5f56b917e7c7dd8fc6e486,
07_RAW_RINEX,RAW_DATA\Test3\CHC3.23O,COPIED,C:\IEEE\RAW_DATA\Test3\CHC3.23O,16d61b22b44374ac3509fda5a0b30f36456f0e14d124c0fcadbf1ad00c92e397,
07_RAW_RINEX,RAW_DATA\Test3\OEM3.23o,COPIED,C:\IEEE\RAW_DATA\Test3\OEM3.23o,dade380706ce17246a15b8f02b587dacf402a8f1ee632adbb61ea1b6a583790c,
07_RAW_RINEX,RAW_DATA\Test3\T13.23o,COPIED,C:\IEEE\RAW_DATA\Test3\T13.23o,5b470cb184e6b32a22b8c08959229e55cab9c2fb51eafc7a4dcc7bb0981ddc20,
07_RAW_RINEX,RAW_DATA\Test3\T23.23o,COPIED,C:\IEEE\RAW_DATA\Test3\T23.23o,3f5f2c5e845da32c38b576df742d8969f15bbd3fc866822faa637a3410d9d972,
