Test,Receiver,Receiver_ID,E (m),N (m),h (m),X (m),Y (m),Z (m),Vertical_Model,Frame,Epoch
Test-1,XIAOMI-1,T11,699242.3733934872,4519970.339122259,61.99335,4213629.714091625,2370585.4419688587,4146228.732775257,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-1,TRIMBLE OEM MB2,OEM1,699242.8226210603,4519970.24015465,61.95335,4213629.532077645,2370585.851722336,4146228.6225954015,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-1,CHC I80,C1,699242.1862156183,4519969.489496197,62.06335,4213630.344056461,2370585.5554469055,4146228.1395235085,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-1,XIAOMI-2,T21,699242.6354431914,4519969.390528588,61.99335,4213630.142251923,2370585.9540662337,4146228.0097384364,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-2,XIAOMI-1,T12,699243.9813854116,4519978.108973091,62.00445,4213624.431924084,2370584.5546303685,4146234.5857870467,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-2,TRIMBLE OEM MB2,OEM2,699244.4370604993,4519978.046042856,61.96445,4213624.2258566925,2370584.9593601283,4146234.502740973,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-2,CHC I80,C2,699243.8623651857,4519977.247152816,62.07445,4213625.036634153,2370584.7316923365,4146233.981920026,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-2,XIAOMI-2,T22,699244.3180402735,4519977.184222581,62.00445,4213624.81077623,2370585.1252879505,4146233.8792687077,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-3,XIAOMI-1,T13,699236.4117540986,4519975.648501106,61.99085,4213629.450004504,2370578.6202026657,4146232.8697262257,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-3,TRIMBLE OEM MB2,OEM3,699236.8657569719,4519975.574464689,61.95085,4213629.251200865,2370579.0267578713,4146232.778311836,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-3,CHC I80,C3,699236.271728702,4519974.789843497,62.06085,4213630.062844501,2370578.777845614,4146232.2686800687,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
Test-3,XIAOMI-2,T23,699236.7257315753,4519974.71580708,61.99085,4213629.844250305,2370579.1732667023,4146232.157660443,B_LEVEL_TABLE,ITRF96 @ 2023.5,2023.5
