Test,Receiver,Receiver_ID,Receiver_Class,RINEX_File,CN0_Median_dBHz,CN0_RobustSigma_dB,GPS_L1_CMC_RobustSigma_m,GPS_L1_CMC_P95Abs_m,PhaseDiscontinuity_Rate_per1000,Median_PhaseArc_Length_s,Epoch_Retention_pct,Observation_Completeness_pct,Median_Usable_Satellites,MultiFrequency_Availability_pct,Signal_Diversity_Count,GPS_L5_CMC_RobustSigma_m,GPS_L5_CMC_P95Abs_m,LLI_FlagRate_per1000,CodePhase_Continuity_Ratio_pct,AllGNSS_CMC_RobustSigma_m,AllGNSS_CMC_P95Abs_m
Test-1,CHC I80,C1,Geodetic,C:\IEEE\RAW_DATA\Test1\CHC1.23O,44.0,4.4478,2.1008842472702263,6.838438751175997,1.2883597472952206,14.0,100.0,100.0,30.0,77.98673703173077,9.0,2.2421183965612204,9.04156176932156,0.0,100.0,1.7869937190659344,15.090743374451943
Test-1,TRIMBLE OEM MB2,OEM1,OEM,C:\IEEE\RAW_DATA\Test1\OEM1.23o,41.0,5.9304,0.21059777084738016,1.6077740602195263,0.9605141370217076,47.0,14.592145015105741,68.54810843014596,37.0,59.63647670737223,9.0,,,11.681712619392691,100.0,0.31632586861476303,248.47124800384037
Test-1,XIAOMI-1,T11,Smartphone,C:\IEEE\RAW_DATA\Test1\T11.23o,34.1,5.782139999999997,16.011044312028584,32.51542872563004,0.23742209587479107,465.001,99.77203647416414,83.78548796856154,45.0,34.63469186980248,6.0,10.412496950431912,20.599668757617472,140.24148326330422,100.0,12.167517973056436,106.83835599571466
Test-1,XIAOMI-2,T21,Smartphone,C:\IEEE\RAW_DATA\Test1\T21.23o,33.755,5.678357999999998,9.126190733339264,19.95405312757938,0.622231302878052,298.0,99.82954545454545,83.93621967278688,46.0,34.51631701631702,6.0,5.908689887123555,12.637620784342289,195.05248722258855,100.0,7.0306719192825256,83.30706605538718
Test-2,CHC I80,C2,Geodetic,C:\IEEE\RAW_DATA\Test2\CHC2.23O,44.0,4.4478,0.9152163589440285,5.004340016841884,1.2377535210447221,13.0,100.0,100.0,32.0,84.5532936261001,9.0,1.5114739594521,11.069503823667763,0.0,100.0,1.1293624138545244,26.29336787834556
Test-2,TRIMBLE OEM MB2,OEM2,OEM,C:\IEEE\RAW_DATA\Test2\OEM2.23o,41.0,4.4478,1.6314089391253888,7.57250925097615,0.14230216441592078,384.5,100.0,70.35016340959115,36.0,61.2861802196417,9.0,,,0.6925372001574811,100.0,1.2744526159102096,39.07116824835536
Test-2,XIAOMI-1,T12,Smartphone,C:\IEEE\RAW_DATA\Test2\T12.23o,33.27,6.330702000000004,26.552501025118676,52.58180793002247,0.16942874930061388,216.0,100.0,85.41531445790021,50.0,36.75252791746982,6.0,19.009751230511068,36.76039357259869,156.01629668156065,100.0,19.113781251972913,59.342220866307564
Test-2,XIAOMI-2,T22,Smartphone,C:\IEEE\RAW_DATA\Test2\T22.23o,32.487,6.004530000000001,17.379282397426664,36.77960511744021,0.24650421243892062,204.001,99.75799946222102,85.90508502344886,50.0,37.104646728768316,6.0,11.31175634965226,23.38680585846305,212.68940071645255,100.0,12.04380457076691,116.48763384483755
Test-3,CHC I80,C3,Geodetic,C:\IEEE\RAW_DATA\Test3\CHC3.23O,44.0,4.4478,0.9266078327765688,5.063650109805167,0.6776159487656234,120.0,100.0,100.0,32.0,90.03001918131069,9.0,1.0758608455684036,6.574052337929595,0.0,100.0,1.0079332754384727,51.771564760804196
Test-3,TRIMBLE OEM MB2,OEM3,OEM,C:\IEEE\RAW_DATA\Test3\OEM3.23o,41.0,5.9304,2.070776596435904,8.69869690015912,0.5181321085964656,69.0,100.0,74.24526788279498,36.0,65.46617092492339,9.0,,,1.1771156641900287,100.0,1.6899868842383845,25.66170276459305
Test-3,XIAOMI-1,T13,Smartphone,C:\IEEE\RAW_DATA\Test3\T13.23o,33.0,6.524922599999999,20.268172754061965,41.81044430509208,0.9720908751017177,117.0,99.8360655737705,81.73323897416738,47.0,30.960329703221053,6.0,13.638616281313821,27.52410974390802,149.11698080010558,100.0,14.555039305655658,57.4748689606785
Test-3,XIAOMI-2,T23,Smartphone,C:\IEEE\RAW_DATA\Test3\T23.23o,32.83,6.121655400000007,11.195349490528553,22.739529616385685,0.3891033181120886,135.0,99.89056087551299,82.20704502703974,46.0,31.11277781358584,6.0,7.136865345045178,14.827745064347981,207.01191013949577,100.0,7.8828128809578715,50.09460275694711
