Test,Receiver,Receiver_ID,Receiver_Class,RINEX_File,RINEX_Version,Epoch_N,Expected_Epoch_N,Duration_min,Header_Interval_s,Median_dt_s,Nominal_Interval_s,Epoch_Retention_pct,Observed_System_N,Observed_Systems,Declared_CP_Slots,Present_CP_Slots,Valid_Code_N,Valid_Phase_N,Simultaneous_CodePhase_N,Valid_Phase_Transitions_N,LLI_SlipFlag_N,PhaseJump_Flag_N,CombinedSlip_Flag_N,LLI_SlipRate_per1000,PhaseJump_Rate_per1000,Final_Phase_Transitions_N,LLI_Nonzero_N,LLI_ValidPhase_N,CN0_Value_N,CMC_Residual_N,GPS_L1_CMC_Residual_N,GPS_L5_CMC_Residual_N,Phase_Series_N,Phase_Arc_N,MultiFreq_Den_N,MultiFreq_Num_N,Marker_Name,Receiver_Type_Header,Antenna_Type_Header,Antenna_Delta_H_m,Antenna_Delta_E_m,Antenna_Delta_N_m,Parser_Status,Parser_Error
Test-1,CHC I80,C1,Geodetic,C:\IEEE\RAW_DATA\Test1\CHC1.23O,3.02,5601,5601,93.33333333333333,1.0,1.0,1.0,100.0,4,"C,E,G,R",960062,960062,322470,480031,322470,479654,0,415,,0.0,1.2883597472952206,322115,0,480031,322470,206229,48919,28009,78,770,165423,129008,c1,CHC I80,CHCI80,0.0,0.0,0.0,OK,
Test-1,TRIMBLE OEM MB2,OEM1,OEM,C:\IEEE\RAW_DATA\Test1\OEM1.23o,3.02,966,6620,110.31666666666666,1.0,1.0,1.0,14.592145015105741,4,"C,G,R,S",167850,115058,57521,57529,57521,57269,669,55,,11.681712619392691,0.9605141370217076,57261,669,57529,57529,40259,10751,0,80,315,35376,21097,,ASHTECH MB-TWO,NOV600,0.0,-0.0,-0.0,OK,
Test-1,XIAOMI-1,T11,Smartphone,C:\IEEE\RAW_DATA\Test1\T11.23o,3.03,5252,5264,87.71668333333334,,1.0,1.0,99.77203647416414,4,"C,E,G,R",764414,640468,320234,320234,320234,320105,44892,76,,140.24148326330422,0.23742209587479107,320105,44892,320234,320234,235911,58933,29603,77,205,237854,82380,Google GnssLogger,GnssLogger,Unknown,0.0,0.0,0.0,OK,
Test-1,XIAOMI-2,T21,Smartphone,C:\IEEE\RAW_DATA\Test1\T21.23o,3.03,5271,5280,87.98335,,1.0,1.0,99.82954545454545,4,"C,E,G,R",770018,646324,323162,323162,323162,323031,63008,201,,195.05248722258855,0.622231302878052,323031,63008,323162,323162,237453,59208,29801,75,332,240240,82922,Google GnssLogger,GnssLogger,Unknown,0.0,0.0,0.0,OK,
Test-2,CHC I80,C2,Geodetic,C:\IEEE\RAW_DATA\Test2\CHC2.23O,3.02,5193,5193,86.53333333333333,1.0,1.0,1.0,100.0,4,"C,E,G,R",1007378,1007378,343693,503689,343693,503368,0,425,,0.0,1.2377535210447221,343364,0,503689,343693,232667,44810,32262,83,754,168735,142671,c2,CHC I80,CHCI80,0.0,0.0,0.0,OK,
Test-2,TRIMBLE OEM MB2,OEM2,OEM,C:\IEEE\RAW_DATA\Test2\OEM2.23o,3.02,3566,3566,59.416666666666664,1.0,1.0,1.0,100.0,4,"C,G,R,S",599720,421904,210952,210952,210952,210819,146,30,,0.6925372001574811,0.14230216441592078,210819,146,210952,210952,131542,41483,0,73,163,126934,77793,,ASHTECH MB-TWO,NOV600,0.0,-0.0,-0.0,OK,
Test-2,XIAOMI-1,T12,Smartphone,C:\IEEE\RAW_DATA\Test2\T12.23o,3.03,3723,3723,62.03333333333333,,1.0,1.0,100.0,4,"C,E,G,R",594706,507970,253985,253985,253985,253794,39596,43,,156.01629668156065,0.16942874930061388,253794,39596,253985,253985,185187,41049,25673,81,234,185726,68259,Google GnssLogger,GnssLogger,Unknown,0.0,0.0,0.0,OK,
Test-2,XIAOMI-2,T22,Smartphone,C:\IEEE\RAW_DATA\Test2\T22.23o,3.03,3710,3719,61.96666666666667,,1.0,1.0,99.75799946222102,4,"C,E,G,R",585956,503366,251683,251683,251683,251517,53495,62,,212.68940071645255,0.24650421243892062,251517,53495,251683,251683,188026,41129,25551,81,228,183570,68113,Google GnssLogger,GnssLogger,Unknown,0.0,0.0,0.0,OK,
Test-3,CHC I80,C3,Geodetic,C:\IEEE\RAW_DATA\Test3\CHC3.23O,3.02,3660,3660,60.983333333333334,1.0,1.0,1.0,100.0,4,"C,E,G,R",709236,709236,242199,354618,242199,354407,0,164,,0.0,0.6776159487656234,242025,0,354618,242199,175729,31590,21263,80,338,116259,104668,c3,CHC I80,CHCI80,0.0,0.0,0.0,OK,
Test-3,TRIMBLE OEM MB2,OEM3,OEM,C:\IEEE\RAW_DATA\Test3\OEM3.23o,3.02,3186,3186,53.083333333333336,1.0,1.0,1.0,100.0,4,"C,G,R,S",536018,397968,198984,198984,198984,198791,234,103,,1.1771156641900287,0.5181321085964656,198791,234,198984,198984,127124,43301,0,73,296,113231,74128,,ASHTECH MB-TWO,NOV600,0.0,-0.0,-0.0,OK,
