Test,Receiver_ID,Receiver,Receiver_Class,Dataset_ID,Adj_Median_RMSE2D_m,Adj_Median_RMSE3D_m,Adj_Median_Contamination_pct,Adj_Median_AbsBiasU_m,USABLE_Product_N,CN0_Median_dBHz,CN0_RobustSigma_dB,GPS_L1_CMC_RobustSigma_m,GPS_L1_CMC_P95Abs_m,PhaseDiscontinuity_Rate_per1000,Median_PhaseArc_Length_s,Epoch_Retention_pct,Observation_Completeness_pct,Median_Usable_Satellites,MultiFrequency_Availability_pct,Signal_Diversity_Count,GPS_L5_CMC_RobustSigma_m,QZ_CN0_Median_dBHz,QZ_CN0_RobustSigma_dB,QZ_GPS_L1_CMC_RobustSigma_m,QZ_GPS_L1_CMC_P95Abs_m,QZ_PhaseDiscontinuity_Rate_per1000,QZ_Median_PhaseArc_Length_s,QZ_Epoch_Retention_pct,QZ_Observation_Completeness_pct,QZ_Median_Usable_Satellites,QZ_MultiFrequency_Availability_pct,QZ_Signal_Diversity_Count,QZ_GPS_L5_CMC_RobustSigma_m
Test-1,C1,CHC I80,Geodetic,Test-1|C1,-1.427371293915994,-2.8532201391473055,-22.852336015051485,-0.37777831032745335,6,44.0,4.4478,2.1008842472702263,6.838438751175997,1.2883597472952206,14.0,100.0,100.0,30.0,77.98673703173077,9.0,2.2421183965612204,0.985382876245537,2.5682012885881873,0.4691002813733687,0.5435145617823882,-1.339814090393018,-0.9059727952732965,0.6744907594765076,1.8539587568443932,-1.3489815189531904,1.2908517525860166,0.6744907594765952,0.6744907594765952
Test-1,T11,XIAOMI-1,Smartphone,Test-1|T11,2.3638493018496796,1.5811610706539512,12.497455041337965,0.7953131031535186,6,34.1,5.782139999999997,16.011044312028584,32.51542872563004,0.237422095874791,465.001,99.77203647416414,83.78548796856154,45.0,34.63469186980248,6.0,10.412496950431912,-0.5270652593871468,0.1351684888730647,-1.3885439404883044,-1.3202590420859421,0.6207875877689806,2.6939799504628446,-2.13546029586589,-0.008657532433178416,0.49053873416479654,-0.5986921497844956,-0.6744907594765952,-0.45137844152845236
Test-1,T21,XIAOMI-2,Smartphone,Test-1|T21,3.181540859031843,1.7997621953124405,7.366263432142903,0.0,6,33.755,5.678357999999998,9.126190733339264,19.95405312757938,0.622231302878052,298.0,99.82954545454544,83.93621967278688,46.0,34.51631701631702,6.0,5.908689887123555,-0.5797717853258614,0.32440437329535204,-0.4691002813733687,-0.40848705124064977,-0.09710236127135416,1.3609547277012957,-1.426586279632025,0.008657532433178416,0.6131734177059956,-0.6038516406865277,-0.6744907594765952,0.16924123067090277
Test-2,C2,CHC I80,Geodetic,Test-2|C2,-1.5344259514717082,-3.230000960586505,-15.478807494616225,-0.9791262284359916,6,44.0,4.4478,0.9152163589440284,5.004340016841884,1.237753521044722,13.0,100.0,100.0,32.0,84.5532936261001,9.0,1.5114739594521,0.985382876245537,2.5682012885881873,0.627441313506873,0.6766432817507776,-1.2454044439424685,-0.9139549344387,0.6744907594765076,1.8539587568443932,-1.1037121518707922,1.5770619400435153,0.6744907594765952,0.7751727613205758
Test-2,OEM2,TRIMBLE OEM MB2,OEM,Test-2|OEM2,-1.3281481152842671,-3.016007181315497,4.777038080827154,-0.8818219992180409,4,41.0,4.4478,1.6314089391253888,7.57250925097615,0.1423021644159207,384.5,100.0,70.35016340959115,36.0,61.2861802196417,9.0,,0.5270652593871479,2.5682012885881873,0.5317967628963609,0.4902317890638135,0.7982408334423614,2.051409765508698,0.6744907594765076,-1.5520190795921893,-0.6131734177059956,0.5629406431422563,0.6744907594765952,
Test-2,T12,XIAOMI-1,Smartphone,Test-2|T12,4.998053793746336,3.7867987644787564,0.7783667327470081,0.9634972022732327,6,33.27,6.330702000000004,26.55250102511868,52.58180793002247,0.1694287493006138,216.0,100.0,85.41531445790021,50.0,36.75252791746982,6.0,19.009751230511068,-0.6538664667179676,-0.8650783287876109,-2.796311792325525,-2.776784434025081,0.7476341891986711,0.7064193161382092,0.6744907594765076,0.17856619417988628,1.1037121518707922,-0.5063840666215675,-0.6744907594765952,-1.636070649279875
Test-2,T22,XIAOMI-2,Smartphone,Test-2|T22,4.322828116848685,3.374936539561345,0.2571943327777255,1.9944581850744976,6,32.487,6.004530000000001,17.379282397426664,36.77960511744021,0.2465042124389206,204.001,99.75799946222102,85.90508502344886,50.0,37.10464672876832,6.0,11.31175634965226,-0.7734873647180073,-0.2703369777461294,-1.5712664657243918,-1.6297758277061105,0.6038442296612674,0.6106416282925327,-2.3084849776819407,0.23482780918444712,1.1037121518707922,-0.4910366026134948,-0.6744907594765952,-0.5752954001639672
Test-3,C3,CHC I80,Geodetic,Test-3|C3,-1.5227737816555362,-3.453223545693391,-18.156876900732254,-1.1366175048356455,6,44.0,4.4478,0.9266078327765688,5.063650109805167,0.6776159487656234,120.0,100.0,100.0,32.0,90.03001918131069,9.0,1.0758608455684036,0.985382876245537,2.5682012885881873,0.6259200293918815,0.6723382372024127,-0.20042650188503935,-0.059866043740526204,0.6744907594765076,1.8539587568443932,-1.1037121518707922,1.8157707100485112,0.6744907594765952,0.835199770502814
Test-3,OEM3,TRIMBLE OEM MB2,OEM,Test-3|OEM3,-1.547119109054333,-3.3282893039564487,-7.520588579009953,-0.2678515397924402,5,41.0,5.9304,2.070776596435904,8.69869690015912,0.5181321085964656,69.0,100.0,74.24526788279498,36.0,65.46617092492339,9.0,,0.5270652593871479,-0.1351684888730647,0.4731210333521978,0.40848705124064977,0.09710236127135416,-0.46695514117610437,0.6744907594765076,-1.1045751462711964,-0.6131734177059956,0.7451298782666627,0.6744907594765952,
Test-3,T13,XIAOMI-1,Smartphone,Test-3|T13,1.3608469273716082,0.0,3.4229279131081007,0.30108800764722515,6,33.0,6.524922599999999,20.268172754061965,41.81044430509208,0.9720908751017177,117.0,99.8360655737705,81.73323897416738,47.0,30.960329703221053,6.0,13.63861628131382,-0.695115052235223,-1.219219769635026,-1.957065798989555,-1.9949411096406537,-0.7497911896672722,-0.08381246123673669,-1.3462172125620468,-0.2444063726819939,0.7358081012471948,-0.7588430400373517,-0.6744907594765952,-0.8959341459500318
Test-3,T23,XIAOMI-2,Smartphone,Test-3|T23,-0.4249650809356763,1.6575781610151004,-0.7486430431137201,3.625759004093694,6,32.83,6.121655400000007,11.195349490528551,22.739529616385685,0.3891033181120886,135.0,99.890560875513,82.20704502703974,46.0,31.11277781358584,6.0,7.136865345045178,-0.7210863838571986,-0.4839031901655796,-0.7454278571534201,-0.6106718696012922,0.3378150836797359,0.059866043740526204,-0.6744907594766828,-0.18997865568827563,0.6131734177059956,-0.7521984308547459,-0.6744907594765952,-0.0
