Product,Test,Receiver_ID,Result_Record_Status,Receiver,Receiver_Class,Solution_Status,Status_Reason,Contamination_Class,POS_File,POS_Bytes,POS_Format,GT_Source,GT_X_m,GT_Y_m,GT_Z_m,GT_Lat_deg,GT_Lon_deg,GT_h_m,Start_Epoch,End_Epoch,Duration_min,Filter_Method,Outlier_N,Outlier_pct,Retention_pct,RAW_N,RAW_Bias_E_m,RAW_Bias_N_m,RAW_Bias_U_m,RAW_Bias_2D_m,RAW_Bias_3D_m,RAW_SD_E_m,RAW_SD_N_m,RAW_SD_U_m,RAW_MAE_E_m,RAW_MAE_N_m,RAW_MAE_U_m,RAW_RMSE_E_m,RAW_RMSE_N_m,RAW_RMSE_U_m,RAW_RMSE_2D_m,RAW_RMSE_3D_m,RAW_P95_2D_m,RAW_P95_3D_m,RAW_P99_2D_m,RAW_P99_3D_m,CLEAN_N,CLEAN_Bias_E_m,CLEAN_Bias_N_m,CLEAN_Bias_U_m,CLEAN_Bias_2D_m,CLEAN_Bias_3D_m,CLEAN_SD_E_m,CLEAN_SD_N_m,CLEAN_SD_U_m,CLEAN_MAE_E_m,CLEAN_MAE_N_m,CLEAN_MAE_U_m,CLEAN_RMSE_E_m,CLEAN_RMSE_N_m,CLEAN_RMSE_U_m,CLEAN_RMSE_2D_m,CLEAN_RMSE_3D_m,CLEAN_P95_2D_m,CLEAN_P95_3D_m,CLEAN_P99_2D_m,CLEAN_P99_3D_m,Delta_RMSE_2D_RAW_minus_CLEAN_m,Delta_RMSE_3D_RAW_minus_CLEAN_m,RMSE_2D_Reduction_pct,RMSE_3D_Reduction_pct,Audit_Receiver,Audit_POS_File,Audit_Exists,Audit_Bytes,Audit_Parse_Status,Audit_Raw_N,Audit_Clean_N,Audit_Outlier_N,Audit_Outlier_pct,Audit_Solution_Status,Audit_Status_Reason,Audit_Contamination_Class,Audit_Filter_Method,Audit_RAW_RMSE_2D_m,Audit_RAW_RMSE_3D_m,Audit_CLEAN_RMSE_2D_m,Audit_CLEAN_RMSE_3D_m
CODE,Test-1,C1,RESULT_PRESENT,CHC I80,Geodetic,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\CODE\CHC1.pos,818208.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213630.344056461,2370585.555446905,4146228.139523509,40.80656880861399,29.362076089712488,62.06335000041872,2023-06-05 09:05:29.000,2023-06-05 10:38:49.000,93.33333333333331,MCD_CHI2_99.73,505.0,9.022690727175272,90.97730927282473,5597.0,0.0649980969419357,0.0068610701993944,0.2674745723057046,0.0653592142727733,0.2753442821641189,0.0025796410815797,0.0027924574906345,0.0069039103417292,0.0649980969419357,0.0068610701993944,0.2674745723057046,0.0650492579914171,0.0074074766219007,0.2675636415736254,0.0654696622500678,0.2754570365179976,0.0697631983678219,0.2879144961183665,0.0704171342997099,0.2893929170057915,5092.0,0.0646091735231875,0.0067819170932114,0.2668759960214131,0.0649641416691435,0.2746691408863214,0.0022893331414774,0.0028632513045804,0.0067885690192737,0.0646091735231875,0.0067819170932114,0.2668759960214131,0.0646497124534313,0.0073614534892972,0.2669623060871035,0.0650674751145796,0.2747774539315968,0.0690213557927406,0.2874967660176553,0.0696589159680653,0.2892976305441997,0.0004021871354881,0.0006795825864008,0.6143106924119559,0.2467109190570365,CHC I80,C:\IEEE\RTKLIB_DATA\CODE\CHC1.pos,True,818208,OK,5597,5092,505.0,9.022690727175272,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.0654696622500678,0.2754570365179976,0.0650674751145796,0.2747774539315968
CODE,Test-1,OEM1,NO_RESULT_ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIMBLE OEM MB2,C:\IEEE\RTKLIB_DATA\CODE\OEM1.pos,True,1046,EMPTY_OR_UNPARSEABLE,0,0,,,FAILED,EMPTY_OR_UNPARSEABLE,NOT_APPLICABLE,,,,,
CODE,Test-1,T11,RESULT_PRESENT,XIAOMI-1,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\CODE\T11.pos,769581.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213629.714091625,2370585.4419688587,4146228.732775257,40.80657641057263,29.362078578271213,61.99335000105202,2023-06-05 09:08:38.000,2023-06-05 10:36:21.000,87.71666666666667,MCD_CHI2_99.73,2534.0,48.13829787234042,51.861702127659576,5264.0,2.7334167388549147,0.1236708524211619,0.9319406240446092,2.73621299390066,2.890566531795362,0.0920109176210874,0.1317496949343039,0.2498316377617143,2.7334167388549147,0.1644821471399425,0.9319406240446092,2.734964619319477,0.1806907976761829,0.9648405655120028,2.7409269660635225,2.905786976044822,2.893728803681308,3.2559361269161102,2.913659380125539,3.2614031718605605,2730.0,2.715485822722464,0.1485592653857459,0.9763954872793644,2.7195464895343577,2.8895122869297776,0.0717692317314518,0.1003300160645601,0.1639354738465165,2.715485822722464,0.1561440123936061,0.9763954872793644,2.716433726281906,0.1792547913861979,0.990057141230346,2.7223417253380795,2.89678401204127,2.8286144107870697,3.0878157245940447,2.916659147336317,3.2553200279603054,0.0185852407254429,0.0090029640035518,0.6780640621057782,0.3098287685150997,XIAOMI-1,C:\IEEE\RTKLIB_DATA\CODE\T11.pos,True,769581,OK,5264,2730,2534.0,48.13829787234042,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,2.7409269660635225,2.905786976044822,2.7223417253380795,2.89678401204127
CODE,Test-1,T21,RESULT_PRESENT,XIAOMI-2,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\CODE\T21.pos,771917.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213630.142251923,2370585.9540662337,4146228.009738437,40.8065678088207,29.362081379525588,61.99334999918938,2023-06-05 09:08:38.000,2023-06-05 10:36:37.001,87.98335,MCD_CHI2_99.73,2018.0,38.21969696969697,61.78030303030303,5280.0,2.545472129272429,-1.0336232651097297,0.636231955845482,2.747326958168396,2.8200348431744207,0.0319800559568723,0.0613899384468881,0.0420902884691118,2.545472129272429,1.0336232651097297,0.636231955845482,2.545672974123738,1.0354443804208049,0.6376224262786873,2.748198674792093,2.821198028253696,2.805958192667661,2.8772603535510166,2.806611416815204,2.878208586085086,3262.0,2.5664601152496305,-1.0741288139368914,0.629472859735252,2.7821700580835493,2.852491246829672,0.0133167248227204,0.0225293246472621,0.011815201121108,2.5664601152496305,1.0741288139368914,0.629472859735252,2.566494653016681,1.0743649863047158,0.6295837016039181,2.782293106011792,2.85263572246546,2.806176879953397,2.877523533325019,2.806782776732227,2.8783071027628067,-0.0340944312196986,-0.0314376942117649,-1.2406101324635126,-1.1143384440554371,XIAOMI-2,C:\IEEE\RTKLIB_DATA\CODE\T21.pos,True,771917,OK,5280,3262,2018.0,38.21969696969697,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,2.748198674792093,2.8211980282536957,2.782293106011792,2.85263572246546
CODE,Test-2,C2,RESULT_PRESENT,CHC I80,Geodetic,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\CODE\CHC2.pos,759224.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213625.036634153,2370584.7316923365,4146233.981920026,40.80663822758461,29.362098422104022,62.074450000189245,2023-06-05 10:39:09.000,2023-06-05 12:05:41.000,86.53333333333333,MCD_CHI2_99.73,331.0,6.3739649528211055,93.62603504717887,5193.0,0.2428777057678971,0.0391980013162957,0.0767940687236129,0.2460204529429809,0.2577273603197699,0.0044955820214329,0.0023560046344693,0.0051210048045576,0.2428777057678971,0.0391980013162957,0.0767940687236129,0.2429193000256702,0.0392687279668903,0.0769645933616721,0.2460727927282885,0.2578281752493834,0.2530177084491203,0.2638814614967771,0.2550974529950531,0.2650609731316498,4862.0,0.2433698751259909,0.0394621831571188,0.0766008899236434,0.2465484942528882,0.258174081494368,0.004214598123771,0.0021937313165405,0.0052118100617248,0.2433698751259909,0.0394621831571188,0.0766008899236434,0.2434063583861029,0.0395230991548611,0.0767779507047789,0.2465942632536065,0.258270370704838,0.2531717279941106,0.2639701524683032,0.2551273804993827,0.2650886211276476,-0.0005214705253179,-0.0004421954554545,-0.2119171809025563,-0.1715078094265025,CHC I80,C:\IEEE\RTKLIB_DATA\CODE\CHC2.pos,True,759224,OK,5193,4862,331.0,6.3739649528211055,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.2460727927282885,0.2578281752493834,0.2465942632536065,0.258270370704838
CODE,Test-2,OEM2,RESULT_PRESENT,TRIMBLE OEM MB2,OEM,USABLE,MEETS_SOLUTION_QC,MODERATE,C:\IEEE\RTKLIB_DATA\CODE\OEM2.pos,521682.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.2258566925,2370584.9593601283,4146234.502740973,40.8066452788475,29.36210548488808,61.96445000078529,2023-06-05 11:05:35.000,2023-06-05 12:05:00.000,59.41666666666666,MCD_CHI2_99.73,973.0,27.285473920358942,72.71452607964106,3566.0,0.4970677056248903,0.1700251096091352,-0.0522867792221853,0.5253425947634468,0.5279382058103208,0.0225216334799805,0.0120407485681359,0.0234001279043566,0.4970677056248903,0.1700251096091352,0.0522867792221853,0.4975775172883951,0.1704508048311505,0.0572828047104442,0.5259627958120898,0.5290729460990847,0.5571513391847782,0.5611986786016951,0.5589909163690046,0.5620015982165476,2593.0,0.5068809151808789,0.1746982071676043,-0.0638831730719396,0.5361415165440748,0.5399340566809246,0.0161068224446966,0.0107165544083873,0.0133077365938644,0.5068809151808789,0.1746982071676043,0.0638831730719396,0.5071366599387582,0.1750264661008269,0.0652540217712519,0.5364903127639712,0.5404442090048764,0.5576729365532616,0.5614692973499709,0.5590262996998,0.5620343056056022,-0.0105275169518813,-0.0113712629057917,-2.001570650187684,-2.1492807352243832,TRIMBLE OEM MB2,C:\IEEE\RTKLIB_DATA\CODE\OEM2.pos,True,521682,OK,3566,2593,973.0,27.285473920358942,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,0.5259627958120898,0.5290729460990847,0.5364903127639712,0.5404442090048764
CODE,Test-2,T12,RESULT_PRESENT,XIAOMI-1,Smartphone,USABLE,MEETS_SOLUTION_QC,MODERATE,C:\IEEE\RTKLIB_DATA\CODE\T12.pos,544449.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.431924084,2370584.5546303685,4146234.585787047,40.806645955838704,29.36210010718615,62.004450000822544,2023-06-05 11:03:56.001,2023-06-05 12:05:58.001,62.03333333333333,MCD_CHI2_99.73,1218.0,32.72434175174637,67.27565824825362,3722.0,5.642063896323308,0.5363495477201776,-1.750105828734349,5.667499964493568,5.931561873512282,0.1858500682660591,0.3449942981917513,0.874039934819624,5.642063896323308,0.5363495477201776,1.750105828734349,5.645123203088295,0.6376989300654521,1.9561725302241133,5.681027715427242,6.008384714002248,5.92198690010812,6.148405414684926,5.955404148633812,6.165952046922081,2504.0,5.666984411860766,0.376088409719218,-1.978323831115137,5.67945022129766,6.014143330263765,0.1450444605232187,0.1381173282887297,0.5926644181313973,5.666984411860766,0.376088409719218,1.978323831115137,5.668839547745723,0.4006385776851605,2.0651576252852224,5.682979244024697,6.046579951120237,5.881719423949122,6.151101509841501,5.901672450925707,6.168300243243789,-0.0019515285974547,-0.0381952371179892,-0.0343516823928743,-0.6356989263516546,XIAOMI-1,C:\IEEE\RTKLIB_DATA\CODE\T12.pos,True,544449,OK,3722,2504,1218.0,32.72434175174637,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,5.681027715427242,6.008384714002248,5.682979244024697,6.046579951120237
CODE,Test-2,T22,RESULT_PRESENT,XIAOMI-2,Smartphone,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\CODE\T22.pos,544011.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.81077623,2370585.1252879505,4146233.879268708,40.80663755059349,29.36210379980534,62.00444999989122,2023-06-05 11:03:27.001,2023-06-05 12:05:25.001,61.96666666666667,MCD_CHI2_99.73,733.0,19.70959935466524,80.29040064533477,3719.0,3.4393665466844108,2.2100545808633254,-2.81294405132658,4.088224980703339,4.9624830204989525,0.0504174844129671,0.1273999702282984,0.6882479372225254,3.4393665466844108,2.2100545808633254,2.81294405132658,3.439735961042662,2.2137225748793496,2.895895731895106,4.090519663834968,5.011842297023005,4.154689888503223,5.321422625317893,4.161705913320985,5.329028545190114,2986.0,3.423888049020586,2.2126264318488085,-2.8505659639031893,4.07660705724037,4.974379500370403,0.0392705774140186,0.0515007549347808,0.5221627754077419,3.423888049020586,2.2126264318488085,2.8505659639031893,3.4241131748245146,2.2132255118763657,2.897980153108925,4.077121312939709,5.002120267270715,4.09337709611821,5.322135080129149,4.101769752116739,5.329581216126871,0.013398350895259,0.0097220297522904,0.3275464243263848,0.1939811585465334,XIAOMI-2,C:\IEEE\RTKLIB_DATA\CODE\T22.pos,True,544011,OK,3719,2986,733.0,19.709599354665237,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,4.090519663834968,5.011842297023005,4.077121312939709,5.002120267270715
CODE,Test-3,C3,RESULT_PRESENT,CHC I80,Geodetic,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\CODE\CHC3.pos,535406.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213630.062844501,2370578.777845614,4146232.2686800687,40.80661795140109,29.362007720937548,62.06085000000894,2023-06-05 12:08:11.000,2023-06-05 13:09:10.000,60.98333333333333,MCD_CHI2_99.73,87.0,2.377049180327869,97.62295081967213,3660.0,0.3376926626449972,0.0189636321238256,0.0038543190278629,0.338224708954854,0.3382466696403148,0.0076227219175784,0.0017123077435288,0.0068801563966522,0.3376926626449972,0.0189636321238256,0.0068106425968165,0.3377786618745692,0.0190407599649815,0.007885391158768,0.3383149050187097,0.3384067882763958,0.3508344981940819,0.3508692803067601,0.3549050391864222,0.3549346333988288,3573.0,0.337407523687753,0.0189422292133527,0.0038320408544996,0.3379388185584379,0.3379605444808363,0.0074573358392801,0.0017220512652821,0.0068257682492025,0.337407523687753,0.0189422292133527,0.0067425776376733,0.3374899010851281,0.0190203227671793,0.0078270434730147,0.3380254517231169,0.3381160579182032,0.3501815997466436,0.3502680956519461,0.354472579812953,0.3544886871410409,0.0002894532955928,0.0002907303581926,0.085557358336552,0.085911503038511,CHC I80,C:\IEEE\RTKLIB_DATA\CODE\CHC3.pos,True,535406,OK,3660,3573,87.0,2.377049180327869,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.3383149050187097,0.3384067882763958,0.3380254517231169,0.3381160579182032
CODE,Test-3,OEM3,RESULT_PRESENT,TRIMBLE OEM MB2,OEM,USABLE,MEETS_SOLUTION_QC,MODERATE,C:\IEEE\RTKLIB_DATA\CODE\OEM3.pos,466202.0,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213629.251200865,2370579.026757872,4146232.778311836,40.806624869547086,29.36201500816637,61.95084999874234,2023-06-05 12:08:39.000,2023-06-05 13:01:44.000,53.083333333333336,MCD_CHI2_99.73,993.0,31.16760828625236,68.83239171374764,3186.0,1.226837199014263,0.4587079442892555,-0.4538944266295123,1.3097871930352798,1.3862044010767571,0.0363368280829974,0.0160957584394608,0.0118478194114489,1.226837199014263,0.4587079442892555,0.4538944266295123,1.2273750297008208,0.4589901635957005,0.4540489811589723,1.3103898022385163,1.386824398077204,1.356856950105577,1.4357172404230936,1.3591621647667076,1.4403694620940857,2193.0,1.2454464100749405,0.4660726955543585,-0.4596465773934038,1.329797171718252,1.4069952004251232,0.0233258963643095,0.0122857085468136,0.0088421882818984,1.2454464100749405,0.4660726955543585,0.4596465773934038,1.2456647260412033,0.4662345196876098,0.4597315790233799,1.330058358513506,1.407269825514273,1.357705203630234,1.4370634536390672,1.359271456392649,1.4406000046130818,-0.0196685562749894,-0.0204454274370688,-1.5009698825028983,-1.4742621679728125,TRIMBLE OEM MB2,C:\IEEE\RTKLIB_DATA\CODE\OEM3.pos,True,466202,OK,3186,2193,993.0,31.167608286252356,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,1.3103898022385163,1.386824398077204,1.330058358513506,1.407269825514273
