Test,Observation_Date,GPS_Week,GPS_DOW,DOY,Product_Center,Product_Class,Exact_Filename,Full_Path,File_Size_bytes,Filename_Date,Coverage_Start,Coverage_End,File_Exists,Used_in_Run,Run_Reference_N,Provenance_Source,Date_Match,Status,Supplement_Record_Type,Navigation source,Exact filename,Observation date,GPS week,GPS DOW
Test-1,2023-06-05,2265.0,1.0,156,CODE,SP3,COD0MGXFIN_20231560000_01D_05M_ORB.SP3,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\COD\FIN\COD0MGXFIN_20231560000_01D_05M_ORB.SP3\COD0MGXFIN_20231560000_01D_05M_ORB.SP3,2091302.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00,True,True,125.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\EXPERIMENT_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-2,2023-06-05,2265.0,1.0,156,CODE,SP3,COD0MGXFIN_20231560000_01D_05M_ORB.SP3,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\COD\FIN\COD0MGXFIN_20231560000_01D_05M_ORB.SP3\COD0MGXFIN_20231560000_01D_05M_ORB.SP3,2091302.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00,True,True,125.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\EXPERIMENT_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-3,2023-06-05,2265.0,1.0,156,CODE,SP3,COD0MGXFIN_20231560000_01D_05M_ORB.SP3,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\COD\FIN\COD0MGXFIN_20231560000_01D_05M_ORB.SP3\COD0MGXFIN_20231560000_01D_05M_ORB.SP3,2091302.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-06 00:00:00,True,True,125.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\EXPERIMENT_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-1,2023-06-05,2265.0,1.0,156,CODE,CLK,COD0MGXFIN_20231560000_01D_30S_CLK.CLK,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\COD\FIN\COD0MGXFIN_20231560000_01D_30S_CLK.CLK\COD0MGXFIN_20231560000_01D_30S_CLK.CLK,36169625.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-05 23:59:30,True,True,125.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\EXPERIMENT_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-2,2023-06-05,2265.0,1.0,156,CODE,CLK,COD0MGXFIN_20231560000_01D_30S_CLK.CLK,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\COD\FIN\COD0MGXFIN_20231560000_01D_30S_CLK.CLK\COD0MGXFIN_20231560000_01D_30S_CLK.CLK,36169625.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-05 23:59:30,True,True,125.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\EXPERIMENT_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-3,2023-06-05,2265.0,1.0,156,CODE,CLK,COD0MGXFIN_20231560000_01D_30S_CLK.CLK,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\COD\FIN\COD0MGXFIN_20231560000_01D_30S_CLK.CLK\COD0MGXFIN_20231560000_01D_30S_CLK.CLK,36169625.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-05 23:59:30,True,True,125.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\EXPERIMENT_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-1,2023-06-05,2265.0,1.0,156,IGS,SP3,IGS0OPSFIN_20231560000_01D_15M_ORB.SP3,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\IGS\FIN\IGS0OPSFIN_20231560000_01D_15M_ORB.SP3\IGS0OPSFIN_20231560000_01D_15M_ORB.SP3,253250.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-05 23:45:00,True,True,89.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-2,2023-06-05,2265.0,1.0,156,IGS,SP3,IGS0OPSFIN_20231560000_01D_15M_ORB.SP3,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\IGS\FIN\IGS0OPSFIN_20231560000_01D_15M_ORB.SP3\IGS0OPSFIN_20231560000_01D_15M_ORB.SP3,253250.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-05 23:45:00,True,True,89.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-3,2023-06-05,2265.0,1.0,156,IGS,SP3,IGS0OPSFIN_20231560000_01D_15M_ORB.SP3,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\IGS\FIN\IGS0OPSFIN_20231560000_01D_15M_ORB.SP3\IGS0OPSFIN_20231560000_01D_15M_ORB.SP3,253250.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-05 23:45:00,True,True,89.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
Test-1,2023-06-05,2265.0,1.0,156,IGS,CLK,IGS0OPSFIN_20231560000_01D_30S_CLK.CLK,C:\IEEE\IGS_Products\Analiz Merkezlerinin Ürünleri\IGS\FIN\IGS0OPSFIN_20231560000_01D_30S_CLK.CLK\IGS0OPSFIN_20231560000_01D_30S_CLK.CLK,10058051.0,2023-06-05 00:00:00,2023-06-05 00:00:00,2023-06-05 23:59:30,True,True,89.0,C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_FULL_FACTORIAL_V1\FULL_FACTORIAL_RUN_MANIFEST_EXECUTED.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_OEM1_FACTORIAL_RERUN_V1\OEM1_RERUN_RUN_MANIFEST.csv | C:\IEEE\GNSS_ANALYSIS\ANTEX_SENSITIVITY_V1\PROVENANCE_NORMALIZED_PREFILTER.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_RUN_LEVEL.csv | C:\IEEE\GNSS_ANALYSIS\PRECISE_PRODUCT_PROVENANCE_V1\PRECISE_PRODUCT_PROVENANCE_TABLE.csv,PASS,PASS,PRECISE_PRODUCT,,,,,
