Source_Block,Source_Layer,Predictor,Outcome,N,Observed_Rho,Admissible_Permutations,Extreme_Permutations,Exact_TwoSided_p,Permutation_Rho_Min,Permutation_Rho_Max,Left_Out_Test,N_Remaining,Full_Rho,LOTO_Rho,Direction_Preserved,Abs_Rho_Change,Spearman_Raw,Spearman_WithinTestResidual,Pearson_WithinTestResidual,Claim_ID,Evidence_Role,Metric,Population,Adjustment,Statistical_Test,Rho,P,Q,Permutation_N,Source_CSV,Source_Row,Manuscript_Role,Lock_Status,Q_Status,Q_Policy,LOTO_Rho_Min,LOTO_Rho_Max,Direction_Preserved_Count,Direction_Total,Between_SS_Fraction,ICC_Test
COMMENT11_BLOCKED_PRIMARY,PRODUCT_ADJUSTED,CMC_P95,Outcome,11.0,0.8181818181818182,3456.0,24.0,0.0069444444444444,-0.8727272727272729,0.8909090909090911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_BLOCKED_PRIMARY,PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,11.0,0.8363636363636365,3456.0,17.0,0.0049189814814814,-0.8545454545454546,0.8909090909090911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_BLOCKED_PRIMARY,PRODUCT_ADJUSTED,CN0,Outcome,11.0,-0.7448767935921586,3456.0,59.0,0.0170717592592592,-0.8276408817690653,0.8736209307562355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_BLOCKED_PRIMARY,UNADJUSTED,CMC_P95,Outcome,11.0,0.8454545454545455,3456.0,12.0,0.0034722222222222,-0.8454545454545455,0.8909090909090911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_BLOCKED_PRIMARY,UNADJUSTED,CMC_ROBUST,Outcome,11.0,0.790909090909091,3456.0,17.0,0.0049189814814814,-0.8272727272727273,0.8272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_BLOCKED_PRIMARY,UNADJUSTED,CN0,Outcome,11.0,-0.790856842579329,3456.0,17.0,0.0049189814814814,-0.8506309062626504,0.800052852376763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CMC_P95,Outcome,,,,,,,,Test-1,8.0,0.8181818181818182,0.8333333333333335,True,0.0151515151515152,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CMC_P95,Outcome,,,,,,,,Test-2,7.0,0.8181818181818182,0.642857142857143,True,0.1753246753246752,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CMC_P95,Outcome,,,,,,,,Test-3,7.0,0.8181818181818182,0.9642857142857144,True,0.1461038961038963,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,,,,,,,,Test-1,8.0,0.8363636363636365,0.8333333333333335,True,0.003030303030303,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,,,,,,,,Test-2,7.0,0.8363636363636365,0.7142857142857144,True,0.1220779220779221,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,,,,,,,,Test-3,7.0,0.8363636363636365,0.9285714285714288,True,0.0922077922077923,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CN0,Outcome,,,,,,,,Test-1,8.0,-0.7448767935921586,-0.7229440390678199,True,0.0219327545243387,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CN0,Outcome,,,,,,,,Test-2,7.0,-0.7448767935921586,-0.5585812268712466,True,0.186295566720912,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,PRODUCT_ADJUSTED,CN0,Outcome,,,,,,,,Test-3,7.0,-0.7448767935921586,-0.9549937104572924,True,0.2101169168651339,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CMC_P95,Outcome,,,,,,,,Test-1,8.0,0.8454545454545455,0.9047619047619048,True,0.0593073593073593,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CMC_P95,Outcome,,,,,,,,Test-2,7.0,0.8454545454545455,0.642857142857143,True,0.2025974025974024,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CMC_P95,Outcome,,,,,,,,Test-3,7.0,0.8454545454545455,0.9285714285714288,True,0.0831168831168833,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CMC_ROBUST,Outcome,,,,,,,,Test-1,8.0,0.790909090909091,0.9047619047619048,True,0.1138528138528137,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CMC_ROBUST,Outcome,,,,,,,,Test-2,7.0,0.790909090909091,0.6071428571428572,True,0.1837662337662338,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CMC_ROBUST,Outcome,,,,,,,,Test-3,7.0,0.790909090909091,0.8571428571428573,True,0.0662337662337663,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CN0,Outcome,,,,,,,,Test-1,8.0,-0.790856842579329,-0.7711403083390078,True,0.0197165342403211,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CN0,Outcome,,,,,,,,Test-2,7.0,-0.790856842579329,-0.6126374746329801,True,0.1782193679463488,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_LOTO,UNADJUSTED,CN0,Outcome,,,,,,,,Test-3,7.0,-0.790856842579329,-0.9549937104572924,True,0.1641368678779635,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_FIXED_TEST,PRODUCT_ADJUSTED,CMC_P95,Outcome,11.0,,,,,,,,,,,,,0.8181818181818182,0.9090909090909092,0.9136506576452484,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_FIXED_TEST,PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,11.0,,,,,,,,,,,,,0.8363636363636365,0.9090909090909092,0.909723287399556,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_FIXED_TEST,PRODUCT_ADJUSTED,CN0,Outcome,11.0,,,,,,,,,,,,,-0.7448767935921586,-0.8090909090909091,-0.883543158278463,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_FIXED_TEST,UNADJUSTED,CMC_P95,Outcome,11.0,,,,,,,,,,,,,0.8454545454545455,0.8272727272727273,0.9054498896754432,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_FIXED_TEST,UNADJUSTED,CMC_ROBUST,Outcome,11.0,,,,,,,,,,,,,0.790909090909091,0.8272727272727273,0.9016241619249744,,,,,,,,,,,,,,,,,,,,,,
COMMENT11_FIXED_TEST,UNADJUSTED,CN0,Outcome,11.0,,,,,,,,,,,,,-0.790856842579329,-0.8272727272727273,-0.8868363433400926,,,,,,,,,,,,,,,,,,,,,,
COMMENT12_REGISTRY,,CMC_P95,Horizontal_RMSE_2D,11.0,,,,,,,,,,,,,,,,C12-001,PRIMARY_INFERENCE,CMC_P95,Final_11_dataset_level_evidence_set,Product-adjusted,Spearman + exact Test-blocked permutation,0.8181818181818182,0.0069444444444444,,3456.0,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,2,Primary Results/Abstract/Discussion value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
COMMENT12_REGISTRY,,CMC_ROBUST,Horizontal_RMSE_2D,11.0,,,,,,,,,,,,,,,,C12-002,PRIMARY_INFERENCE,CMC_ROBUST,Final_11_dataset_level_evidence_set,Product-adjusted,Spearman + exact Test-blocked permutation,0.8363636363636365,0.0049189814814814,,3456.0,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,3,Primary Results/Abstract/Discussion value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
COMMENT12_REGISTRY,,CN0,Horizontal_RMSE_2D,11.0,,,,,,,,,,,,,,,,C12-003,PRIMARY_INFERENCE,CN0,Final_11_dataset_level_evidence_set,Product-adjusted,Spearman + exact Test-blocked permutation,-0.7448767935921586,0.0170717592592592,,3456.0,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_BLOCKED_PERMUTATION.csv,4,Primary Results/Abstract/Discussion value,LOCKED,NOT_DEFINED_IN_COMMENT11_SOURCE,Do not report a q-value for this claim unless a named final multiple-testing source/procedure is explicitly linked.,,,,,,
